Country,Year,GDP
India,2024,3477476264134.11
India,2023,3265719695911.24
India,2022,2990839011962.46
India,2021,2779348258938.77
India,2020,2533830417086.54
India,2019,2689205295885.31
India,2018,2588974770244.57
India,2017,2432016068497.75
India,2016,2277267041550.36
India,2015,2103588360044.94
India,2014,1947834564908.95
India,2013,1813453530766.63
India,2012,1704596203504.32
India,2011,1616399198833.92
India,2010,1535897931732.14
India,2009,1415605643155.69
India,2008,1312424303406.43
India,2007,1273126725479.64
India,2006,1182534912713.8
India,2005,1094324353140.52
India,2004,1013982178697.24
India,2003,939542798342.002
India,2002,871073127580.09
India,2001,839151992864.812
India,2000,800534479623.61
India,1999,770923380745.097
India,1998,708271422053.216
India,1997,667020123972.214
India,1996,641058406947.109
India,1995,596058814154.216
India,1994,554089360749.644
India,1993,519496484311.542
India,1992,495935689518.468
India,1991,470159674247.956
India,1990,465242841648.51
India,1989,440848680243.36
India,1988,416101684459.118
India,1987,379558605848.711
India,1986,365081813582.139
India,1985,348438428459.16
India,1984,331044366862.92
India,1983,318861504646.348
India,1982,297198988654.362
India,1981,287216122417.714
India,1980,270942749191.358
India,1979,253844253326.143
India,1978,267876092471.368
India,1977,253400507185.485
India,1976,236260373289.536
India,1975,232395396987.391
India,1974,212913957231.546
India,1973,210419775347.359
India,1972,203706581888.418
India,1971,204839964083.559
India,1970,201528983203.524
India,1969,191645390152.62
India,1968,179881668161.506
India,1967,173987108161.045
India,1966,161359197052.857
India,1965,161448524536.398
India,1964,165819135753.596
India,1963,154317899661.715
India,1962,145590679986.918
India,1961,141444753584.224
India,1960,136368119594.478
United States,2024,22679489969555.6
United States,2023,22062578283266.8
United States,2022,21443388432051.0
United States,2021,20917853444668.3
United States,2020,19723580221938.2
United States,2019,20159639089698.1
United States,2018,19651869117582.5
United States,2017,19085691122935.2
United States,2016,18627887993267.5
United States,2015,18295019000000.0
United States,2014,17771549055750.5
United States,2013,17334068402873.9
United States,2012,16974575729098.2
United States,2011,16594704135316.7
United States,2010,16339094225152.5
United States,2009,15910281498377.5
United States,2008,16331051067048.8
United States,2007,16312522122064.7
United States,2006,15992063823932.8
United States,2005,15558822251116.7
United States,2004,15035068144475.6
United States,2003,14477988212152.8
United States,2002,14084248131240.5
United States,2001,13848757307662.6
United States,2000,13717679619283.1
United States,1999,13180243872015.4
United States,1998,12577957790462.2
United States,1997,12038266260921.7
United States,1996,11525703481345.6
United States,1995,11106673920743.1
United States,1994,10816317372939.4
United States,1993,10397403618243.0
United States,1992,10118950749800.9
United States,1991,9774639354478.61
United States,1990,9785238027788.59
United States,1989,9604107858980.19
United States,1988,9263914872017.8
United States,1987,8892477646207.72
United States,1986,8595533785977.66
United States,1985,8307861210351.78
United States,1984,7975324064260.71
United States,1983,7437138984659.05
United States,1982,7111177473087.81
United States,1981,7241747172534.37
United States,1980,7062521475644.78
United States,1979,7080703002910.43
United States,1978,6863408303981.27
United States,1977,6503430023926.86
United States,1976,6215991006431.03
United States,1975,5898194297822.85
United States,1974,5910347105856.54
United States,1973,5942469134009.66
United States,1972,5624905010372.65
United States,1971,5344048439508.78
United States,1970,5173693085766.78
United States,1969,5164159048266.29
United States,1968,5007791880196.63
United States,1967,4773211933325.89
United States,1966,4645793322317.28
United States,1965,4358345546391.57
United States,1964,4092402635290.38
United States,1963,3869417876417.83
United States,1962,3707855986272.28
United States,1961,3493704590510.06
United States,1960,3406320762468.95
China,2024,18488114837769.3
China,2023,17611526369126.6
China,2022,16706875253648.5
China,2021,16199162892908.6
China,2020,14920466234565.3
China,2019,14579283528148.4
China,2018,13745158275136.7
China,2017,12875216222853.4
China,2016,12045152668727.3
China,2015,11280814787468.9
China,2014,10544908798424.0
China,2013,9812695262900.89
China,2012,9104482675356.36
China,2011,8441318020902.42
China,2010,7711689202853.29
China,2009,6972829250985.1
China,2008,6373544042638.01
China,2007,5811552614974.09
China,2006,5091154930758.42
China,2005,4518455387849.41
China,2004,4053944733453.66
China,2003,3681006926650.74
China,2002,3342778183071.46
China,2001,3059936242478.58
China,2000,2825096197799.54
China,1999,2601702759078.63
China,1998,2414864610327.86
China,1997,2237626840759.87
China,1996,2047465483836.55
China,1995,1861735071148.11
China,1994,1676743149158.28
China,1993,1482889338698.69
China,1992,1301589870245.13
China,1991,1138752669458.5
China,1990,1041271896195.66
China,1989,1001785223303.97
China,1988,961347723725.301
China,1987,864345705902.996
China,1986,774307505788.049
China,1985,710797305027.178
China,1984,626609364483.701
China,1983,543778042482.387
China,1982,491096319836.96
China,1981,450302166910.072
China,1980,428399142252.564
China,1979,397275966892.718
China,1978,369245353260.872
China,1977,331679415653.587
China,1976,308338212930.482
China,1975,313256337433.365
China,1974,288131289036.632
China,1973,281625734559.996
China,1972,261345336449.324
China,1971,251753527067.499
China,1970,235151809332.094
China,1969,197109647391.948
China,1968,168556223190.173
China,1967,175762485053.603
China,1966,186524976187.159
China,1965,168572052589.089
China,1964,144140275830.279
China,1963,121966725197.001
China,1962,110577266727.999
China,1961,117112123190.551
China,1960,161023131028.203
Japan,2024,4605054526891.98
Japan,2023,4601203385713.7
Japan,2022,4534320578755.85
Japan,2021,4492005937826.88
Japan,2020,4374056271824.01
Japan,2019,4564332550096.38
Japan,2018,4582763011478.55
Japan,2017,4553466417290.11
Japan,2016,4478437728050.46
Japan,2015,4444930651964.18
Japan,2014,4376627829634.98
Japan,2013,4363702302793.37
Japan,2012,4277925608846.49
Japan,2011,4219912322040.1
Japan,2010,4218907820178.57
Japan,2009,4052826324003.77
Japan,2008,4297492743392.88
Japan,2007,4350758602405.54
Japan,2006,4287138774362.24
Japan,2005,4229100705435.58
Japan,2004,4154163710039.3
Japan,2003,4065291729517.45
Japan,2002,4003827945767.2
Japan,2001,4002148544212.9
Japan,2000,3986755544463.82
Japan,1999,3879501014656.82
Japan,1998,3892499235707.61
Japan,1997,3942583070732.46
Japan,1996,3904273220109.61
Japan,1995,3785636263361.93
Japan,1994,3688589488079.23
Japan,1993,3649056226895.55
Japan,1992,3665890719857.33
Japan,1991,3633170889060.57
Japan,1990,3509518031563.1
Japan,1989,3347469412117.91
Japan,1988,3190321043522.53
Japan,1987,2991067029860.74
Japan,1986,2858193572217.93
Japan,1985,2767045767160.48
Japan,1984,2631276932032.13
Japan,1983,2520117566447.53
Japan,1982,2431837052476.44
Japan,1981,2354611841484.43
Japan,1980,2258390310743.42
Japan,1979,2196501867256.99
Japan,1978,2082307265730.27
Japan,1977,1978026847418.67
Japan,1976,1894837095325.15
Japan,1975,1822397100508.49
Japan,1974,1767745894179.63
Japan,1973,1789673689005.64
Japan,1972,1656605218634.67
Japan,1971,1528042629882.78
Japan,1970,1459462598521.52
Japan,1969,1453661751929.24
Japan,1968,1292397726863.45
Japan,1967,1144905624564.99
Japan,1966,1030683781033.35
